country,year,energy_recovery_kg_per_capita
Austria,2018,224
Austria,2019,226
Austria,2020,298
Austria,2021,296
Austria,2022,284
Austria,2023,277
Belgium,2018,174
Belgium,2019,176
Belgium,2020,353
Belgium,2021,332
Belgium,2022,311
Belgium,2023,303
Bulgaria,2018,31
Bulgaria,2019,16
Bulgaria,2020,20
Bulgaria,2021,13
Bulgaria,2022,15
Bulgaria,2023,16
Croatia,2018,0
Croatia,2019,0
Croatia,2020,1
Croatia,2021,1
Croatia,2022,1
Croatia,2023,8
Cyprus,2018,5
Cyprus,2019,6
Cyprus,2020,9
Cyprus,2021,15
Cyprus,2022,16
Cyprus,2023,16
Czechia,2018,82
Czechia,2019,81
Czechia,2020,68
Czechia,2021,69
Czechia,2022,67
Czechia,2023,76
Denmark,2018,397
Denmark,2019,401
Denmark,2020,435
Denmark,2021,395
Denmark,2022,363
Denmark,2023,387
EU average,2018,128
EU average,2019,129
EU average,2020,136
EU average,2021,135
EU average,2022,130
EU average,2023,129
Estonia,2018,167
Estonia,2019,167
Estonia,2020,164
Estonia,2021,192
Estonia,2022,157
Estonia,2023,159
Finland,2018,314
Finland,2019,314
Finland,2020,349
Finland,2021,381
Finland,2022,289
Finland,2023,252
France,2018,173
France,2019,170
France,2020,174
France,2021,173
France,2022,176
France,2023,172
Germany,2018,189
Germany,2019,192
Germany,2020,187
Germany,2021,184
Germany,2022,176
Germany,2023,179
Greece,2018,8
Greece,2019,7
Greece,2020,8
Greece,2021,8
Greece,2022,8
Greece,2023,9
Hungary,2018,52
Hungary,2019,53
Hungary,2020,48
Hungary,2021,52
Hungary,2022,48
Hungary,2023,53
Ireland,2018,254
Ireland,2019,284
Ireland,2020,268
Ireland,2021,257
Ireland,2022,262
Ireland,2023,251
Italy,2018,93
Italy,2019,96
Italy,2020,92
Italy,2021,91
Italy,2022,87
Italy,2023,90
Latvia,2018,8
Latvia,2019,15
Latvia,2020,13
Latvia,2021,16
Latvia,2022,14
Latvia,2023,26
Lithuania,2018,58
Lithuania,2019,69
Lithuania,2020,124
Lithuania,2021,168
Lithuania,2022,177
Lithuania,2023,180
Luxembourg,2018,375
Luxembourg,2019,369
Luxembourg,2020,341
Luxembourg,2021,323
Luxembourg,2022,299
Luxembourg,2023,292
Malta,2018,0
Malta,2019,0
Malta,2020,0
Malta,2021,25
Malta,2022,8
Malta,2023,16
Netherlands,2018,213
Netherlands,2019,206
Netherlands,2020,217
Netherlands,2021,205
Netherlands,2022,189
Netherlands,2023,184
Poland,2018,74
Poland,2019,72
Poland,2020,71
Poland,2021,73
Poland,2022,74
Poland,2023,73
Portugal,2018,92
Portugal,2019,96
Portugal,2020,109
Portugal,2021,120
Portugal,2022,103
Portugal,2023,92
Romania,2018,12
Romania,2019,13
Romania,2020,15
Romania,2021,17
Romania,2022,20
Romania,2023,16
Slovakia,2018,29
Slovakia,2019,23
Slovakia,2020,35
Slovakia,2021,40
Slovakia,2022,37
Slovakia,2023,36
Slovenia,2018,47
Slovenia,2019,65
Slovenia,2020,54
Slovenia,2021,46
Slovenia,2022,50
Slovenia,2023,59
Spain,2018,55
Spain,2019,52
Spain,2020,47
Spain,2021,51
Spain,2022,50
Spain,2023,46
Sweden,2018,232
Sweden,2019,236
Sweden,2020,259
Sweden,2021,249
Sweden,2022,233
Sweden,2023,230
