country,waste_kg_per_capita,year
Austria,782,2023
Belgium,688,2023
Bulgaria,490,2023
Croatia,475,2023
Cyprus,661,2023
Czechia,538,2023
Denmark,759,2023
Estonia,373,2023
Finland,468,2023
France,527,2023
Germany,613,2023
Greece,523,2023
Hungary,429,2023
Ireland,590,2023
Italy,489,2023
Latvia,437,2023
Lithuania,446,2023
Luxembourg,718,2023
Malta,603,2023
Netherlands,465,2023
Poland,367,2023
Portugal,505,2023
Romania,305,2023
Slovakia,472,2023
Slovenia,517,2023
Spain,464,2023
Sweden,392,2023
