country,year,renewable_share_percent
Austria,2018,33.784
Austria,2019,33.755
Austria,2020,36.545
Austria,2021,34.643
Austria,2022,34.057
Austria,2023,41.6
Austria,2024,42.951
Belgium,2018,9.472
Belgium,2019,9.929
Belgium,2020,13
Belgium,2021,13.017
Belgium,2022,13.831
Belgium,2023,14.673
Belgium,2024,14.336
Bulgaria,2018,20.581
Bulgaria,2019,21.545
Bulgaria,2020,23.319
Bulgaria,2021,19.394
Bulgaria,2022,19.079
Bulgaria,2023,23.151
Bulgaria,2024,23.21
Croatia,2018,28.047
Croatia,2019,28.466
Croatia,2020,31.023
Croatia,2021,31.285
Croatia,2022,28.088
Croatia,2023,28.088
Croatia,2024,26.477
Cyprus,2018,13.873
Cyprus,2019,13.777
Cyprus,2020,16.879
Cyprus,2021,19.069
Cyprus,2022,19.427
Cyprus,2023,20.213
Cyprus,2024,20.844
Czechia,2018,15.139
Czechia,2019,16.239
Czechia,2020,17.303
Czechia,2021,17.614
Czechia,2022,18.123
Czechia,2023,18.555
Czechia,2024,19.211
Denmark,2018,35.159
Denmark,2019,37.02
Denmark,2020,31.681
Denmark,2021,41.494
Denmark,2022,41.368
Denmark,2023,43.728
Denmark,2024,46.461
EU average,2018,19.096
EU average,2019,19.887
EU average,2020,22.038
EU average,2021,21.897
EU average,2022,23.003
EU average,2023,24.579
EU average,2024,25.241
Estonia,2018,29.97
Estonia,2019,31.73
Estonia,2020,30.069
Estonia,2021,37.342
Estonia,2022,38.542
Estonia,2023,40.95
Estonia,2024,42.232
Finland,2018,41.185
Finland,2019,42.807
Finland,2020,43.939
Finland,2021,42.819
Finland,2022,47.74
Finland,2023,50.784
Finland,2024,52.124
France,2018,16.384
France,2019,17.174
France,2020,19.109
France,2021,19.391
France,2022,20.33
France,2023,22.462
France,2024,23.229
Germany,2018,16.66
Germany,2019,17.266
Germany,2020,19.09
Germany,2021,19.302
Germany,2022,20.829
Germany,2023,21.512
Germany,2024,22.474
Greece,2018,18.001
Greece,2019,19.633
Greece,2020,21.749
Greece,2021,22.001
Greece,2022,22.671
Greece,2023,25.269
Greece,2024,25.364
Hungary,2018,12.548
Hungary,2019,12.634
Hungary,2020,13.85
Hungary,2021,14.134
Hungary,2022,15.128
Hungary,2023,17.117
Hungary,2024,18.264
Ireland,2018,10.942
Ireland,2019,11.979
Ireland,2020,16.16
Ireland,2021,12.945
Ireland,2022,13.017
Ireland,2023,15.243
Ireland,2024,16.064
Italy,2018,17.796
Italy,2019,18.181
Italy,2020,20.359
Italy,2021,18.888
Italy,2022,18.826
Italy,2023,19.179
Italy,2024,19.385
Latvia,2018,40.019
Latvia,2019,40.929
Latvia,2020,42.132
Latvia,2021,42.112
Latvia,2022,43.786
Latvia,2023,43.25
Latvia,2024,45.535
Lithuania,2018,24.695
Lithuania,2019,25.474
Lithuania,2020,26.773
Lithuania,2021,28.167
Lithuania,2022,29.599
Lithuania,2023,31.927
Lithuania,2024,35.408
Luxembourg,2018,8.942
Luxembourg,2019,7.046
Luxembourg,2020,11.699
Luxembourg,2021,11.713
Luxembourg,2022,14.286
Luxembourg,2023,14.312
Luxembourg,2024,14.742
Malta,2018,7.914
Malta,2019,8.23
Malta,2020,10.714
Malta,2021,12.631
Malta,2022,14.04
Malta,2023,15.437
Malta,2024,17.21
Netherlands,2018,7.394
Netherlands,2019,8.886
Netherlands,2020,13.999
Netherlands,2021,13.117
Netherlands,2022,15.291
Netherlands,2023,17.588
Netherlands,2024,20.18
Poland,2018,14.936
Poland,2019,15.377
Poland,2020,16.102
Poland,2021,15.604
Poland,2022,16.644
Poland,2023,16.651
Poland,2024,17.77
Portugal,2018,30.203
Portugal,2019,30.623
Portugal,2020,33.982
Portugal,2021,33.982
Portugal,2022,34.675
Portugal,2023,35.154
Portugal,2024,36.319
Romania,2018,23.875
Romania,2019,24.29
Romania,2020,24.478
Romania,2021,23.871
Romania,2022,24.229
Romania,2023,25.758
Romania,2024,25.378
Slovakia,2018,11.896
Slovakia,2019,16.894
Slovakia,2020,17.345
Slovakia,2021,17.419
Slovakia,2022,17.482
Slovakia,2023,16.991
Slovakia,2024,18.092
Slovenia,2018,21.378
Slovenia,2019,21.968
Slovenia,2020,25
Slovenia,2021,25.0
Slovenia,2022,25.002
Slovenia,2023,25.066
Slovenia,2024,25.001
Spain,2018,17.023
Spain,2019,17.852
Spain,2020,21.22
Spain,2021,20.552
Spain,2022,21.837
Spain,2023,24.981
Spain,2024,25.417
Sweden,2018,53.916
Sweden,2019,55.785
Sweden,2020,60.124
Sweden,2021,62.527
Sweden,2022,66.287
Sweden,2023,66.393
Sweden,2024,62.846
